sep=;;;;;;
Dataset;k;accuracy;alpha;weights;individual_accs;time
bupa;5;60.395;0.8;[0.195, 0.203, 0.189, 0.259, 0.155, 0.000, 0.000];[0.523, 0.515, 0.508, 0.575, 0.518, 0.575, 0.518];2.247
bupa;5;60.133;0.2;[0.305, 0.496, 0.000, 0.000, 0.000, 0.000, 0.199];[0.523, 0.528, 0.519, 0.567, 0.574, 0.575, 0.518];2.096
bupa;5;60.052;0.7;[0.140, 0.000, 0.000, 0.387, 0.000, 0.272, 0.201];[0.523, 0.515, 0.508, 0.575, 0.518, 0.414, 0.518];2.413
bupa;5;58.381;0.1;[0.381, 0.271, 0.064, 0.000, 0.000, 0.000, 0.284];[0.523, 0.528, 0.519, 0.567, 0.574, 0.575, 0.518];2.277
bupa;5;58.095;0.3;[0.000, 0.417, 0.000, 0.167, 0.000, 0.416, 0.000];[0.523, 0.527, 0.622, 0.575, 0.518, 0.448, 0.573];2.347
bupa;5;58.095;0.4;[0.000, 0.543, 0.000, 0.061, 0.000, 0.396, 0.000];[0.523, 0.515, 0.508, 0.567, 0.585, 0.448, 0.573];2.394
bupa;5;58.095;0.5;[0.000, 0.496, 0.098, 0.269, 0.018, 0.000, 0.120];[0.523, 0.515, 0.508, 0.416, 0.571, 0.575, 0.566];2.471
bupa;5;58.095;0.6;[0.095, 0.523, 0.000, 0.000, 0.008, 0.349, 0.025];[0.523, 0.515, 0.508, 0.575, 0.518, 0.448, 0.518];2.433
bupa;5;58.095;1;[0.080, 0.275, 0.427, 0.020, 0.032, 0.166, 0.000];[0.523, 0.515, 0.508, 0.575, 0.518, 0.575, 0.518];2.627
bupa;5;58.086;0;[0.311, 0.269, 0.000, 0.000, 0.271, 0.000, 0.149];[0.523, 0.527, 0.622, 0.567, 0.518, 0.575, 0.518];2.237
bupa;5;53.414;0.9;[0.000, 0.026, 0.300, 0.100, 0.457, 0.000, 0.117];[0.523, 0.515, 0.508, 0.575, 0.518, 0.575, 0.518];2.275
bupa;7;59.238;0.9;[0.277, 0.000, 0.151, 0.027, 0.211, 0.142, 0.193];[0.514, 0.534, 0.511, 0.575, 0.511, 0.575, 0.511];2.331
bupa;7;58.943;0.6;[0.098, 0.294, 0.000, 0.000, 0.396, 0.213, 0.000];[0.514, 0.534, 0.511, 0.575, 0.511, 0.481, 0.511];2.075
bupa;7;58.933;1;[0.026, 0.252, 0.165, 0.000, 0.228, 0.132, 0.196];[0.514, 0.534, 0.511, 0.575, 0.511, 0.575, 0.511];2.304
bupa;7;58.095;0.4;[0.073, 0.000, 0.000, 0.545, 0.000, 0.313, 0.069];[0.514, 0.534, 0.511, 0.531, 0.561, 0.481, 0.586];2.172
bupa;7;58.095;0.5;[0.256, 0.000, 0.311, 0.235, 0.000, 0.000, 0.198];[0.514, 0.534, 0.511, 0.438, 0.588, 0.575, 0.586];2.045
bupa;7;58.095;1;[0.125, 0.253, 0.150, 0.022, 0.134, 0.230, 0.087];[0.514, 0.534, 0.511, 0.575, 0.511, 0.575, 0.511];2.549
bupa;7;57.81;0.3;[0.555, 0.023, 0.000, 0.000, 0.000, 0.422, 0.000];[0.514, 0.552, 0.592, 0.575, 0.511, 0.481, 0.586];2.056
bupa;7;57.748;0.1;[0.138, 0.000, 0.143, 0.378, 0.000, 0.000, 0.341];[0.514, 0.552, 0.550, 0.531, 0.568, 0.575, 0.511];2.12
bupa;7;57.505;0.2;[0.245, 0.000, 0.126, 0.345, 0.000, 0.000, 0.284];[0.514, 0.552, 0.550, 0.531, 0.568, 0.575, 0.511];2.074
bupa;7;57.214;0.8;[0.388, 0.000, 0.073, 0.071, 0.380, 0.084, 0.004];[0.514, 0.534, 0.511, 0.575, 0.511, 0.575, 0.511];2.359
bupa;7;53.343;0.7;[0.256, 0.000, 0.458, 0.000, 0.025, 0.261, 0.000];[0.514, 0.534, 0.511, 0.575, 0.511, 0.428, 0.511];2.097
bupa;7;52.848;0;[0.318, 0.000, 0.000, 0.285, 0.157, 0.000, 0.239];[0.514, 0.552, 0.592, 0.531, 0.511, 0.575, 0.511];2.242
