sep=;
dataset;k;step;acc;weights;best_weights;best_acc
biodegradation;7;1100;66.219;[0, 39, 13, 0, 26, 0, 26];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;1100;66.219;[0, 39, 13, 0, 26, 0, 26];[0, 0, 26, 13, 13, 0, 52];88.0095
biodegradation;3;1100;66.219;[0, 39, 13, 0, 26, 0, 26];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;1150;66.2857;[0, 39, 39, 0, 13, 13, 0];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;1150;66.2857;[0, 39, 39, 0, 13, 13, 0];[0, 0, 26, 13, 13, 0, 52];88.0095
biodegradation;3;1150;66.2857;[0, 39, 39, 0, 13, 13, 0];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;1200;66.3048;[0, 52, 13, 0, 13, 0, 26];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;1200;66.3048;[0, 52, 13, 0, 13, 0, 26];[0, 0, 26, 13, 13, 0, 52];88.0095
biodegradation;3;1200;66.3048;[0, 52, 13, 0, 13, 0, 26];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;1250;66.2952;[0, 65, 0, 39, 0, 0, 0];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;1250;66.2952;[0, 65, 0, 39, 0, 0, 0];[0, 0, 26, 13, 13, 0, 52];88.0095
biodegradation;3;1250;66.2952;[0, 65, 0, 39, 0, 0, 0];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;1300;66.2286;[13, 0, 0, 0, 13, 65, 13];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;1300;66.2286;[13, 0, 0, 0, 13, 65, 13];[0, 0, 26, 13, 13, 0, 52];88.0095
biodegradation;3;1300;66.2286;[13, 0, 0, 0, 13, 65, 13];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;1331;88.019;[13, 0, 0, 13, 13, 13, 52];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;1350;66.2381;[13, 0, 0, 13, 78, 0, 0];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;1350;66.2381;[13, 0, 0, 13, 78, 0, 0];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;3;1350;66.2381;[13, 0, 0, 13, 78, 0, 0];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;1400;65.1714;[13, 0, 0, 65, 13, 0, 13];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;1400;64.9714;[13, 0, 0, 65, 13, 0, 13];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;3;1400;63.9429;[13, 0, 0, 65, 13, 0, 13];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;1450;79.9429;[13, 0, 13, 13, 39, 0, 26];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;1450;81.7429;[13, 0, 13, 13, 39, 0, 26];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;3;1450;85.3143;[13, 0, 13, 13, 39, 0, 26];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;1500;79.7143;[13, 0, 26, 0, 13, 39, 13];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;1500;81.219;[13, 0, 26, 0, 13, 39, 13];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;3;1500;84.2476;[13, 0, 26, 0, 13, 39, 13];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;1550;79.0095;[13, 0, 39, 0, 0, 39, 13];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;1550;81.0667;[13, 0, 39, 0, 0, 39, 13];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;3;1550;84.2095;[13, 0, 39, 0, 0, 39, 13];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;1600;77.0476;[13, 0, 52, 26, 13, 0, 0];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;1600;79.4381;[13, 0, 52, 26, 13, 0, 0];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;3;1600;82.8286;[13, 0, 52, 26, 13, 0, 0];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;1650;66.3048;[13, 13, 0, 13, 0, 65, 0];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;1650;66.3048;[13, 13, 0, 13, 0, 65, 0];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;3;1650;66.3048;[13, 13, 0, 13, 0, 65, 0];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;1700;65.1143;[13, 13, 0, 78, 0, 0, 0];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;1700;64.9333;[13, 13, 0, 78, 0, 0, 0];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;3;1700;63.9429;[13, 13, 0, 78, 0, 0, 0];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;1750;68.6571;[13, 13, 13, 39, 13, 0, 13];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;1750;68.2;[13, 13, 13, 39, 13, 0, 13];[0, 0, 26, 13, 13, 0, 52];87.3524
