------------------------------------------------------------------
 dataset  k  step    acc   weights   best_weights     best_acc    
------------------------------------------------------------------
wdbc  7  100    96.4821   [0, 0, 0, 26, 39, 13, 26]   [0, 0, 0, 13, 26, 26, 39]     96.5714
wdbc  5  100    96.6607   [0, 0, 0, 26, 39, 13, 26]   [0, 0, 0, 0, 0, 39, 65]     97.0714
wdbc  3  150    37.125   [0, 0, 0, 65, 13, 13, 13]   [0, 0, 0, 26, 26, 13, 39]     98.0893
wdbc  7  150    39.3929   [0, 0, 0, 65, 13, 13, 13]   [0, 0, 0, 13, 26, 26, 39]     96.5714
wdbc  5  150    39.3929   [0, 0, 0, 65, 13, 13, 13]   [0, 0, 0, 0, 0, 39, 65]     97.0714
wdbc  3  176    98.4286   [0, 0, 13, 0, 13, 39, 39]   [0, 0, 13, 0, 13, 39, 39]     98.4286
wdbc  3  177    98.4643   [0, 0, 13, 0, 13, 52, 26]   [0, 0, 13, 0, 13, 52, 26]     98.4643
wdbc  7  200    96.1607   [0, 0, 13, 0, 91, 0, 0]   [0, 0, 0, 13, 26, 26, 39]     96.5714
wdbc  3  200    97.75   [0, 0, 13, 0, 91, 0, 0]   [0, 0, 13, 0, 13, 52, 26]     98.4643
wdbc  5  176    97.2143   [0, 0, 13, 0, 13, 39, 39]   [0, 0, 13, 0, 13, 39, 39]     97.2143
wdbc  5  177    97.2321   [0, 0, 13, 0, 13, 52, 26]   [0, 0, 13, 0, 13, 52, 26]     97.2321
wdbc  3  211    98.5   [0, 0, 13, 13, 13, 39, 26]   [0, 0, 13, 13, 13, 39, 26]     98.5
wdbc  5  200    96.1607   [0, 0, 13, 0, 91, 0, 0]   [0, 0, 13, 0, 13, 52, 26]     97.2321
wdbc  5  211    97.3036   [0, 0, 13, 13, 13, 39, 26]   [0, 0, 13, 13, 13, 39, 26]     97.3036
wdbc  7  250    96.1429   [0, 0, 13, 39, 0, 0, 52]   [0, 0, 0, 13, 26, 26, 39]     96.5714
wdbc  3  250    97.5536   [0, 0, 13, 39, 0, 0, 52]   [0, 0, 13, 13, 13, 39, 26]     98.5
wdbc  5  250    97.0357   [0, 0, 13, 39, 0, 0, 52]   [0, 0, 13, 13, 13, 39, 26]     97.3036
wdbc  3  300    98.4107   [0, 0, 26, 0, 26, 26, 26]   [0, 0, 13, 13, 13, 39, 26]     98.5
wdbc  7  300    96.1786   [0, 0, 26, 0, 26, 26, 26]   [0, 0, 0, 13, 26, 26, 39]     96.5714
wdbc  5  300    96.8929   [0, 0, 26, 0, 26, 26, 26]   [0, 0, 13, 13, 13, 39, 26]     97.3036
wdbc  3  350    97.2321   [0, 0, 26, 39, 0, 13, 26]   [0, 0, 13, 13, 13, 39, 26]     98.5
wdbc  7  350    95.8214   [0, 0, 26, 39, 0, 13, 26]   [0, 0, 0, 13, 26, 26, 39]     96.5714
wdbc  3  400    97.1429   [0, 0, 39, 13, 26, 13, 13]   [0, 0, 13, 13, 13, 39, 26]     98.5
wdbc  7  400    95.5714   [0, 0, 39, 13, 26, 13, 13]   [0, 0, 0, 13, 26, 26, 39]     96.5714
wdbc  5  350    96.5179   [0, 0, 26, 39, 0, 13, 26]   [0, 0, 13, 13, 13, 39, 26]     97.3036
wdbc  3  450    94.75   [0, 0, 52, 26, 0, 0, 26]   [0, 0, 13, 13, 13, 39, 26]     98.5
wdbc  7  450    93.4821   [0, 0, 52, 26, 0, 0, 26]   [0, 0, 0, 13, 26, 26, 39]     96.5714
wdbc  5  400    96.1071   [0, 0, 39, 13, 26, 13, 13]   [0, 0, 13, 13, 13, 39, 26]     97.3036
wdbc  3  500    37.3036   [0, 13, 0, 0, 0, 65, 26]   [0, 0, 13, 13, 13, 39, 26]     98.5
wdbc  7  500    96.1786   [0, 13, 0, 0, 0, 65, 26]   [0, 0, 0, 13, 26, 26, 39]     96.5714
wdbc  5  450    94.375   [0, 0, 52, 26, 0, 0, 26]   [0, 0, 13, 13, 13, 39, 26]     97.3036
wdbc  3  550    98.0893   [0, 13, 0, 13, 39, 13, 26]   [0, 0, 13, 13, 13, 39, 26]     98.5
wdbc  7  550    96.1429   [0, 13, 0, 13, 39, 13, 26]   [0, 0, 0, 13, 26, 26, 39]     96.5714
wdbc  5  500    97.0357   [0, 13, 0, 0, 0, 65, 26]   [0, 0, 13, 13, 13, 39, 26]     97.3036
wdbc  3  600    37.3036   [0, 13, 0, 52, 13, 13, 13]   [0, 0, 13, 13, 13, 39, 26]     98.5
wdbc  7  600    96.4821   [0, 13, 0, 52, 13, 13, 13]   [0, 0, 0, 13, 26, 26, 39]     96.5714
wdbc  5  550    96.1429   [0, 13, 0, 13, 39, 13, 26]   [0, 0, 13, 13, 13, 39, 26]     97.3036
wdbc  3  650    98.3929   [0, 13, 13, 13, 13, 13, 39]   [0, 0, 13, 13, 13, 39, 26]     98.5
wdbc  7  650    96.0893   [0, 13, 13, 13, 13, 13, 39]   [0, 0, 0, 13, 26, 26, 39]     96.5714
wdbc  3  700    97.5357   [0, 13, 26, 0, 0, 13, 52]   [0, 0, 13, 13, 13, 39, 26]     98.5
wdbc  7  700    96.1429   [0, 13, 26, 0, 0, 13, 52]   [0, 0, 0, 13, 26, 26, 39]     96.5714
wdbc  5  600    96.6786   [0, 13, 0, 52, 13, 13, 13]   [0, 0, 13, 13, 13, 39, 26]     97.3036
wdbc  3  750    96.8214   [0, 13, 26, 39, 26, 0, 0]   [0, 0, 13, 13, 13, 39, 26]     98.5
wdbc  7  750    95.7857   [0, 13, 26, 39, 26, 0, 0]   [0, 0, 0, 13, 26, 26, 39]     96.5714
wdbc  5  650    96.9821   [0, 13, 13, 13, 13, 13, 39]   [0, 0, 13, 13, 13, 39, 26]     97.3036
wdbc  3  800    94.7143   [0, 13, 52, 13, 0, 0, 26]   [0, 0, 13, 13, 13, 39, 26]     98.5
wdbc  7  800    93.4643   [0, 13, 52, 13, 0, 0, 26]   [0, 0, 0, 13, 26, 26, 39]     96.5714
wdbc  3  850    97.7321   [0, 26, 0, 0, 65, 0, 13]   [0, 0, 13, 13, 13, 39, 26]     98.5
wdbc  7  850    96.1607   [0, 26, 0, 0, 65, 0, 13]   [0, 0, 0, 13, 26, 26, 39]     96.5714
wdbc  3  900    37.4107   [0, 26, 0, 52, 0, 13, 13]   [0, 0, 13, 13, 13, 39, 26]     98.5
wdbc  7  900    96.1429   [0, 26, 0, 52, 0, 13, 13]   [0, 0, 0, 13, 26, 26, 39]     96.5714
