sep=;
dataset;k;step;acc;weights;best_weights;best_acc
vehicle;3;1400;76.9405;[13, 0, 0, 65, 13, 0, 13];[0, 13, 39, 0, 26, 0, 26];83.2143
vehicle;5;920;80.0595;[0, 26, 13, 0, 26, 0, 39];[0, 26, 13, 0, 26, 0, 39];80.0595
vehicle;3;1450;81.5357;[13, 0, 13, 13, 39, 0, 26];[0, 13, 39, 0, 26, 0, 26];83.2143
vehicle;7;950;77.9167;[0, 26, 13, 26, 13, 13, 13];[0, 13, 39, 0, 13, 0, 39];79.1667
vehicle;5;950;78.8571;[0, 26, 13, 26, 13, 13, 13];[0, 26, 13, 0, 26, 0, 39];80.0595
vehicle;3;1499;83.381;[13, 0, 26, 0, 13, 26, 26];[13, 0, 26, 0, 13, 26, 26];83.381
vehicle;5;970;80.1071;[0, 26, 26, 0, 13, 0, 39];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;7;1000;77.7143;[0, 26, 39, 0, 0, 0, 39];[0, 13, 39, 0, 13, 0, 39];79.1667
vehicle;3;1500;82.0595;[13, 0, 26, 0, 13, 39, 13];[13, 0, 26, 0, 13, 26, 26];83.381
vehicle;3;1550;81.6667;[13, 0, 39, 0, 0, 39, 13];[13, 0, 26, 0, 13, 26, 26];83.381
vehicle;5;1000;79.6667;[0, 26, 39, 0, 0, 0, 39];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;3;1552;83.4881;[13, 0, 39, 0, 13, 0, 39];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;7;1050;74.4643;[0, 39, 0, 0, 39, 0, 26];[0, 13, 39, 0, 13, 0, 39];79.1667
vehicle;3;1600;81.4405;[13, 0, 52, 26, 13, 0, 0];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;5;1050;72.9167;[0, 39, 0, 0, 39, 0, 26];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;3;1650;25.3333;[13, 13, 0, 13, 0, 65, 0];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;7;1100;78.5119;[0, 39, 13, 0, 26, 0, 26];[0, 13, 39, 0, 13, 0, 39];79.1667
vehicle;5;1100;79.1071;[0, 39, 13, 0, 26, 0, 26];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;3;1700;25.7857;[13, 13, 0, 78, 0, 0, 0];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;7;1150;75.1548;[0, 39, 39, 0, 13, 13, 0];[0, 13, 39, 0, 13, 0, 39];79.1667
vehicle;5;1150;77.9762;[0, 39, 39, 0, 13, 13, 0];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;7;1200;77.7143;[0, 52, 13, 0, 13, 0, 26];[0, 13, 39, 0, 13, 0, 39];79.1667
vehicle;3;1750;81.6548;[13, 13, 13, 39, 13, 0, 13];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;5;1200;79.869;[0, 52, 13, 0, 13, 0, 26];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;7;1250;23.5238;[0, 65, 0, 39, 0, 0, 0];[0, 13, 39, 0, 13, 0, 39];79.1667
vehicle;3;1800;81.369;[13, 13, 39, 0, 26, 13, 0];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;5;1250;23.5238;[0, 65, 0, 39, 0, 0, 0];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;7;1300;77.2976;[13, 0, 0, 0, 13, 65, 13];[0, 13, 39, 0, 13, 0, 39];79.1667
vehicle;5;1300;77.4643;[13, 0, 0, 0, 13, 65, 13];[0, 26, 26, 0, 13, 0, 39];80.1071
vehicle;3;1850;81.6667;[13, 26, 0, 13, 0, 26, 26];[13, 0, 39, 0, 13, 0, 39];83.4881
vehicle;7;1350;74.0833;[13, 0, 0, 13, 78, 0, 0];[0, 13, 39, 0, 13, 0, 39];79.1667
vehicle;5;1350;73.0238;[13, 0, 0, 13, 78, 0, 0];[0, 26, 26, 0, 13, 0, 39];80.1071
