sep=;
dataset;k;step;acc;weights;best_weights;best_acc
pima;3;1309;84.5395;[13, 0, 0, 0, 39, 13, 39];[13, 0, 0, 0, 39, 13, 39];84.5395
pima;7;1350;70.6842;[13, 0, 0, 13, 78, 0, 0];[0, 0, 13, 39, 13, 0, 39];81.2632
pima;3;1350;72.6447;[13, 0, 0, 13, 78, 0, 0];[13, 0, 0, 0, 39, 13, 39];84.5395
pima;5;1350;71.8553;[13, 0, 0, 13, 78, 0, 0];[0, 13, 26, 26, 26, 0, 13];81.5
pima;7;1400;77.9474;[13, 0, 0, 65, 13, 0, 13];[0, 0, 13, 39, 13, 0, 39];81.2632
pima;3;1400;51.7237;[13, 0, 0, 65, 13, 0, 13];[13, 0, 0, 0, 39, 13, 39];84.5395
pima;5;1400;76.6184;[13, 0, 0, 65, 13, 0, 13];[0, 13, 26, 26, 26, 0, 13];81.5
pima;7;1410;81.3026;[13, 0, 13, 0, 0, 39, 39];[13, 0, 13, 0, 0, 39, 39];81.3026
pima;3;1410;84.9737;[13, 0, 13, 0, 0, 39, 39];[13, 0, 13, 0, 0, 39, 39];84.9737
pima;7;1416;81.6184;[13, 0, 13, 0, 13, 26, 39];[13, 0, 13, 0, 13, 26, 39];81.6184
pima;5;1410;82.6316;[13, 0, 13, 0, 0, 39, 39];[13, 0, 13, 0, 0, 39, 39];82.6316
pima;7;1421;81.9737;[13, 0, 13, 0, 26, 13, 39];[13, 0, 13, 0, 26, 13, 39];81.9737
pima;5;1421;83.3816;[13, 0, 13, 0, 26, 13, 39];[13, 0, 13, 0, 26, 13, 39];83.3816
pima;7;1450;78.1711;[13, 0, 13, 13, 39, 0, 26];[13, 0, 13, 0, 26, 13, 39];81.9737
pima;3;1450;82.0658;[13, 0, 13, 13, 39, 0, 26];[13, 0, 13, 0, 0, 39, 39];84.9737
pima;5;1450;79.3553;[13, 0, 13, 13, 39, 0, 26];[13, 0, 13, 0, 26, 13, 39];83.3816
pima;7;1471;82.2895;[13, 0, 13, 39, 0, 0, 39];[13, 0, 13, 39, 0, 0, 39];82.2895
pima;3;1493;85.0526;[13, 0, 26, 0, 0, 26, 39];[13, 0, 26, 0, 0, 26, 39];85.0526
pima;7;1500;78.1447;[13, 0, 26, 0, 13, 39, 13];[13, 0, 13, 39, 0, 0, 39];82.2895
pima;3;1500;81.3816;[13, 0, 26, 0, 13, 39, 13];[13, 0, 26, 0, 0, 26, 39];85.0526
pima;5;1500;78.4342;[13, 0, 26, 0, 13, 39, 13];[13, 0, 13, 0, 26, 13, 39];83.3816
pima;7;1527;82.3289;[13, 0, 26, 26, 0, 0, 39];[13, 0, 26, 26, 0, 0, 39];82.3289
pima;7;1531;82.8947;[13, 0, 26, 26, 13, 0, 26];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;7;1550;80.2105;[13, 0, 39, 0, 0, 39, 13];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;5;1531;84.0658;[13, 0, 26, 26, 13, 0, 26];[13, 0, 26, 26, 13, 0, 26];84.0658
pima;3;1548;85.6711;[13, 0, 39, 0, 0, 13, 39];[13, 0, 39, 0, 0, 13, 39];85.6711
pima;5;1548;84.3947;[13, 0, 39, 0, 0, 13, 39];[13, 0, 39, 0, 0, 13, 39];84.3947
pima;3;1550;81.5526;[13, 0, 39, 0, 0, 39, 13];[13, 0, 39, 0, 0, 13, 39];85.6711
pima;5;1550;80.75;[13, 0, 39, 0, 0, 39, 13];[13, 0, 39, 0, 0, 13, 39];84.3947
pima;3;1562;85.7368;[13, 0, 39, 13, 0, 0, 39];[13, 0, 39, 13, 0, 0, 39];85.7368
pima;5;1562;84.4474;[13, 0, 39, 13, 0, 0, 39];[13, 0, 39, 13, 0, 0, 39];84.4474
