sep=;
dataset;k;step;acc;weights;best_weights;best_acc
sonar;3;2700;89.2;[39, 13, 0, 39, 13, 0, 0];[39, 13, 0, 0, 39, 13, 0];92.6
sonar;5;2050;66.45;[13, 52, 13, 13, 0, 13, 0];[13, 13, 0, 39, 0, 0, 39];87.85
sonar;7;2750;83.4;[39, 26, 0, 13, 13, 0, 13];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;2750;88.1;[39, 26, 0, 13, 13, 0, 13];[39, 13, 0, 0, 39, 13, 0];92.6
sonar;7;2800;82.4;[52, 0, 0, 0, 13, 26, 13];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;2800;88;[52, 0, 0, 0, 13, 26, 13];[39, 13, 0, 0, 39, 13, 0];92.6
sonar;5;2100;86.65;[26, 0, 0, 0, 39, 39, 0];[13, 13, 0, 39, 0, 0, 39];87.85
sonar;7;2850;82.25;[52, 0, 26, 0, 0, 26, 0];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;2850;87.95;[52, 0, 26, 0, 0, 26, 0];[39, 13, 0, 0, 39, 13, 0];92.6
sonar;5;2150;85.5;[26, 0, 0, 39, 26, 0, 13];[13, 13, 0, 39, 0, 0, 39];87.85
sonar;7;2900;82.3;[52, 26, 0, 0, 0, 26, 0];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;2900;87.95;[52, 26, 0, 0, 0, 26, 0];[39, 13, 0, 0, 39, 13, 0];92.6
sonar;7;2950;82.3;[65, 0, 26, 0, 0, 13, 0];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;2950;87.9;[65, 0, 26, 0, 0, 13, 0];[39, 13, 0, 0, 39, 13, 0];92.6
sonar;5;2200;87.35;[26, 0, 13, 26, 0, 13, 26];[13, 13, 0, 39, 0, 0, 39];87.85
sonar;7;3000;82.35;[91, 0, 13, 0, 0, 0, 0];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;3000;87.95;[91, 0, 13, 0, 0, 0, 0];[39, 13, 0, 0, 39, 13, 0];92.6
sonar;5;2250;83.05;[26, 0, 26, 39, 0, 0, 13];[13, 13, 0, 39, 0, 0, 39];87.85
sonar;5;2300;87.4;[26, 13, 0, 0, 26, 0, 39];[13, 13, 0, 39, 0, 0, 39];87.85
