sep=;
dataset;k;step;acc;weights;best_weights;best_acc
ionosphere;3;1300;64.0857;[13, 0, 0, 0, 13, 65, 13];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;1300;64.0857;[13, 0, 0, 0, 13, 65, 13];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;1800;83.1714;[13, 13, 39, 0, 26, 13, 0];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;3;1350;64.1429;[13, 0, 0, 13, 78, 0, 0];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;1850;85.1714;[13, 26, 0, 13, 0, 26, 26];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;1350;64.1429;[13, 0, 0, 13, 78, 0, 0];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;1900;68.3714;[13, 26, 13, 13, 0, 26, 13];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;3;1400;62.6571;[13, 0, 0, 65, 13, 0, 13];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;1400;64.9429;[13, 0, 0, 65, 13, 0, 13];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;1950;84.9143;[13, 26, 52, 0, 13, 0, 0];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;3;1450;88.0571;[13, 0, 13, 13, 39, 0, 26];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;1450;84.6286;[13, 0, 13, 13, 39, 0, 26];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;2000;66.6286;[13, 39, 13, 13, 0, 26, 0];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;7;2050;66.9143;[13, 52, 13, 13, 0, 13, 0];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;1500;84.5714;[13, 0, 26, 0, 13, 39, 13];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;1500;88;[13, 0, 26, 0, 13, 39, 13];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;2100;64.0857;[26, 0, 0, 0, 39, 39, 0];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;7;2150;65.3429;[26, 0, 0, 39, 26, 0, 13];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;1550;85.7429;[13, 0, 39, 0, 0, 39, 13];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;1550;90.3143;[13, 0, 39, 0, 0, 39, 13];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;2200;85.2;[26, 0, 13, 26, 0, 13, 26];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;7;2250;82.8571;[26, 0, 26, 39, 0, 0, 13];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;1600;86.6286;[13, 0, 52, 26, 13, 0, 0];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;2300;85.1429;[26, 13, 0, 0, 26, 0, 39];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;3;1600;90.9143;[13, 0, 52, 26, 13, 0, 0];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;1650;64.0857;[13, 13, 0, 13, 0, 65, 0];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;2350;86.8857;[26, 13, 13, 0, 13, 0, 39];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;3;1650;64.0857;[13, 13, 0, 13, 0, 65, 0];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;2400;86.8571;[26, 13, 39, 0, 0, 0, 26];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;7;2450;86.8857;[26, 26, 13, 0, 0, 0, 39];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;1700;65;[13, 13, 0, 78, 0, 0, 0];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;1700;62.7143;[13, 13, 0, 78, 0, 0, 0];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;2500;67.8;[26, 39, 0, 13, 26, 0, 0];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;7;2550;85.2;[39, 0, 0, 0, 13, 39, 13];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;1750;68.3429;[13, 13, 13, 39, 13, 0, 13];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;2600;85.1714;[39, 0, 13, 0, 0, 39, 13];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;3;1750;88.0286;[13, 13, 13, 39, 13, 0, 13];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;2650;82.8571;[39, 0, 26, 26, 13, 0, 0];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;7;2700;68.6;[39, 13, 0, 39, 13, 0, 0];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;1800;84.8857;[13, 13, 39, 0, 26, 13, 0];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;1800;89.7143;[13, 13, 39, 0, 26, 13, 0];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;2750;85.4571;[39, 26, 0, 13, 13, 0, 13];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;7;2800;85.8;[52, 0, 0, 0, 13, 26, 13];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;1850;86.3143;[13, 26, 0, 13, 0, 26, 26];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;2850;85.8;[52, 0, 26, 0, 0, 26, 0];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;3;1850;89.4571;[13, 26, 0, 13, 0, 26, 26];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;2900;85.7714;[52, 26, 0, 0, 0, 26, 0];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;7;2950;85.7429;[65, 0, 26, 0, 0, 13, 0];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;1900;84.6;[13, 26, 13, 13, 0, 26, 13];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;1900;88.6;[13, 26, 13, 13, 0, 26, 13];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;3000;85.7429;[91, 0, 13, 0, 0, 0, 0];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;1950;86.6286;[13, 26, 52, 0, 13, 0, 0];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;1950;90.8857;[13, 26, 52, 0, 13, 0, 0];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;2000;67.4857;[13, 39, 13, 13, 0, 26, 0];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;5;2050;69.2;[13, 52, 13, 13, 0, 13, 0];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;2000;69.7714;[13, 39, 13, 13, 0, 26, 0];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;2100;64.0857;[26, 0, 0, 0, 39, 39, 0];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;2050;68.6286;[13, 52, 13, 13, 0, 13, 0];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;2150;65.0571;[26, 0, 0, 39, 26, 0, 13];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;2100;64.0857;[26, 0, 0, 0, 39, 39, 0];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;2200;86.3143;[26, 0, 13, 26, 0, 13, 26];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;5;2250;84.5714;[26, 0, 26, 39, 0, 0, 13];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;2150;65.3429;[26, 0, 0, 39, 26, 0, 13];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;2300;86.2857;[26, 13, 0, 0, 26, 0, 39];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;2200;88.8857;[26, 0, 13, 26, 0, 13, 26];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;3;2250;89.1429;[26, 0, 26, 39, 0, 0, 13];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;2350;87.4286;[26, 13, 13, 0, 13, 0, 39];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;2300;89.4286;[26, 13, 0, 0, 26, 0, 39];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;2400;87.4286;[26, 13, 39, 0, 0, 0, 26];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;2350;90.5714;[26, 13, 13, 0, 13, 0, 39];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;2450;87.4571;[26, 26, 13, 0, 0, 0, 39];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;5;2500;68.0857;[26, 39, 0, 13, 26, 0, 0];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;2400;91.1429;[26, 13, 39, 0, 0, 0, 26];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;2550;86.3429;[39, 0, 0, 0, 13, 39, 13];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;2450;91.1714;[26, 26, 13, 0, 0, 0, 39];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;2600;86.3143;[39, 0, 13, 0, 0, 39, 13];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;5;2650;84.5714;[39, 0, 26, 26, 13, 0, 0];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;2500;70.0857;[26, 39, 0, 13, 26, 0, 0];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;2700;68.8857;[39, 13, 0, 39, 13, 0, 0];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;2550;88.9143;[39, 0, 0, 0, 13, 39, 13];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;2750;86.2857;[39, 26, 0, 13, 13, 0, 13];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;5;2800;86.6286;[52, 0, 0, 0, 13, 26, 13];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;2600;90.0286;[39, 0, 13, 0, 0, 39, 13];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;2850;86.6571;[52, 0, 26, 0, 0, 26, 0];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;2650;89.1429;[39, 0, 26, 26, 13, 0, 0];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;2900;86.6286;[52, 26, 0, 0, 0, 26, 0];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;2700;70.8857;[39, 13, 0, 39, 13, 0, 0];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;2950;86.6;[65, 0, 26, 0, 0, 13, 0];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;5;3000;86.6;[91, 0, 13, 0, 0, 0, 0];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;2750;89.7143;[39, 26, 0, 13, 13, 0, 13];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;3;2800;90.3429;[52, 0, 0, 0, 13, 26, 13];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;3;2850;90.3429;[52, 0, 26, 0, 0, 26, 0];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;3;2900;90.3143;[52, 26, 0, 0, 0, 26, 0];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;3;2950;90.2857;[65, 0, 26, 0, 0, 13, 0];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;3;3000;90.2857;[91, 0, 13, 0, 0, 0, 0];[0, 0, 0, 0, 26, 39, 39];92.1143
